POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date,SR,Unnamed: 0,Year,Metric,Source_File
75.0,VVS Laxman,52,39,7,0,RCB,M. Chinnaswamy Stadium,03 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
76.0,Sourav Ganguly,91,40,11,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
77.0,Shaun Marsh,60,40,3,3,DEC,IS Bindra Stadium,23 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
78.0,Shikhar Dhawan,59,40,6,2,CSK,Arun Jaitley Stadium,08 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
79.0,Jacques Kallis,54,40,6,1,DC,Arun Jaitley Stadium,30 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
80.0,Mark Boucher,50,40,5,1,KKR,Eden Gardens,08 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
81.0,Adam Gilchrist,50,40,6,1,PBKS,IS Bindra Stadium,23 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
82.0,Sourav Ganguly,86,41,6,6,PBKS,Eden Gardens,25 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
83.0,Shikhar Dhawan,52,41,8,0,RR,Arun Jaitley Stadium,19 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
84.0,Dwayne Bravo,64,42,8,1,KKR,Eden Gardens,29 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
85.0,Swapnil Asnodkar,50,42,7,1,RCB,Sawai Mansingh Stadium,17 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
86.0,Suresh Raina,54,43,5,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
87.0,Salman Butt,73,44,10,1,CSK,Eden Gardens,18 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
88.0,Rahul Dravid,66,44,9,1,PBKS,M. Chinnaswamy Stadium,05 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
89.0,Parthiv Patel,51,47,8,0,PBKS,Wankhede Stadium,31 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
1.0,Adam Gilchrist,85,17,10,5,DC,Supersport Park,22 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
2.0,Brendon McCullum,81,21,11,3,CSK,Supersport Park,18 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
3.0,Matthew Hayden,65,22,9,2,RCB,St George's Park,20 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
4.0,Matthew Hayden,57,22,5,3,DC,Kingsmead,23 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
5.0,Ross Taylor,81,24,7,5,KKR,Supersport Park,12 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
6.0,Adam Gilchrist,64,24,5,5,DC,Kingsmead,13 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
7.0,MS Dhoni,56,24,7,2,PBKS,Supersport Park,07 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
8.0,Simon Katich,50,24,3,4,CSK,Supersport Park,07 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
9.0,Suresh Raina,98,26,10,5,RR,Supersport Park,30 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
10.0,Graeme Smith,77,26,12,1,PBKS,Kingsmead,05 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
11.0,Yusuf Pathan,62,26,3,6,DC,Supersport Park,28 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
12.0,Sanath Jayasuriya,52,26,2,4,KKR,St George's Park,27 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
13.0,Andrew Symonds,60,28,2,4,PBKS,De Beers Diamond Oval,09 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
14.0,Yuvraj Singh,58,28,5,2,CSK,Supersport Park,07 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
15.0,Rohit Sharma,52,28,1,5,RCB,Newlands,22 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
16.0,Adam Gilchrist,71,31,6,5,RCB,Newlands,22 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
17.0,Virat Kohli,50,31,7,0,DEC,Newlands,22 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
18.0,Herschelle Gibbs,60,32,3,4,RCB,Supersport Park,21 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
19.0,Yuvraj Singh,50,33,3,4,RCB,Kingsmead,01 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
20.0,Sachin Tendulkar,68,34,6,4,KKR,St George's Park,27 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
