Unnamed: 0,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
178,Sachin Tendulkar,68,45,151.11,6,4,KKR,St George's Park,27 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
179,Herschelle Gibbs,58,44,131.81,6,2,MI,Kingsmead,25 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
180,Matthew Hayden,44,35,125.71,6,1,MI,Newlands,18 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
181,Herschelle Gibbs,69,56,123.21,6,2,CSK,Kingsmead,27 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
182,Lee Carseldine,39,32,121.87,6,0,DEC,St George's Park,02 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
183,Sanath Jayasuriya,52,43,120.93,6,1,RCB,New Wanderers Stadium,03 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
184,Swapnil Asnodkar,44,39,112.82,6,1,DEC,De Beers Diamond Oval,11 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
185,Rahul Dravid,44,39,112.82,6,0,CSK,New Wanderers Stadium,23 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
186,Chris Gayle,40,37,108.1,6,0,RCB,Kingsmead,29 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
187,Shreevats Goswami,43,46,93.47,6,0,KKR,Kingsmead,29 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
188,Kumar Sangakkara,43,47,91.48,6,0,DC,OUTsurance Oval,15 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
189,Ravindra Jadeja,33,12,275.0,5,1,PBKS,Kingsmead,05 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
190,Adam Gilchrist,44,19,231.57,5,3,CSK,Kingsmead,27 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
191,Munaf Patel,23,10,230.0,5,0,DC,OUTsurance Oval,17 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
192,Matthew Hayden,57,27,211.11,5,3,DC,Kingsmead,23 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
193,Adam Gilchrist,64,33,193.93,5,5,DC,Kingsmead,13 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
194,Irfan Pathan,32,17,188.23,5,1,KKR,Kingsmead,21 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
195,Sunny Sohal,43,23,186.95,5,3,MI,Supersport Park,12 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
196,Rahul Dravid,48,27,177.77,5,2,DEC,Newlands,22 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
197,Dwayne Smith,48,28,171.42,5,2,DC,Supersport Park,30 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
198,Matthew Hayden,43,26,165.38,5,3,DEC,Buffalo Park,04 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
199,Herschelle Gibbs,43,26,165.38,5,1,KKR,Newlands,19 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
200,Yuvraj Singh,58,36,161.11,5,2,CSK,Supersport Park,07 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
201,Matthew Hayden,60,38,157.89,5,3,RCB,Kingsmead,14 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
202,Suresh Raina,41,27,151.85,5,1,DC,Kingsmead,23 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
203,Adam Gilchrist,43,31,138.7,5,2,KKR,New Wanderers Stadium,16 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
204,Ajinkya Rahane,56,41,136.58,5,2,DC,Supersport Park,21 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
205,Jacques Kallis,62,46,134.78,5,2,PBKS,Kingsmead,24 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
206,Naman Ojha,68,51,133.33,5,5,PBKS,Kingsmead,05 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
207,Sanath Jayasuriya,26,20,130.0,5,0,CSK,Newlands,18 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
208,Rob Quiney,51,40,127.5,5,2,MI,Kingsmead,14 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
209,Jacques Kallis,24,19,126.31,5,0,CSK,St George's Park,20 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
210,Brad Hodge,73,60,121.66,5,3,MI,Buffalo Park,01 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
211,Brad Hodge,48,41,117.07,5,0,DEC,New Wanderers Stadium,16 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
212,Jacques Kallis,69,59,116.94,5,2,MI,New Wanderers Stadium,03 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
213,Adam Gilchrist,39,35,111.42,5,2,RR,St George's Park,02 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
214,Graeme Smith,44,46,95.65,5,0,DC,Supersport Park,28 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
215,Abhishek Nayar,35,18,194.44,4,1,RR,Kingsmead,14 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
216,Adam Gilchrist,23,13,176.92,4,1,PBKS,New Wanderers Stadium,17 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
217,Sunny Sohal,30,17,176.47,4,1,DEC,De Beers Diamond Oval,09 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
218,Brad Hodge,71,44,161.36,4,4,CSK,Supersport Park,18 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
219,Suresh Raina,32,20,160.0,4,1,PBKS,Supersport Park,07 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
220,Ross Taylor,35,22,159.09,4,2,PBKS,Kingsmead,24 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
221,Matthew Hayden,30,19,157.89,4,1,DC,New Wanderers Stadium,02 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
222,Andrew Symonds,33,21,157.14,4,1,RCB,New Wanderers Stadium,24 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
223,Abhishek Raut,36,23,156.52,4,0,DEC,St George's Park,02 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
224,Sourav Ganguly,46,30,153.33,4,2,RR,Newlands,23 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
225,Abhishek Nayar,29,20,145.0,4,0,RCB,New Wanderers Stadium,03 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
226,MS Dhoni,40,28,142.85,4,1,KKR,Supersport Park,18 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
227,Ravi Bopara,84,59,142.37,4,5,RCB,Kingsmead,24 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
228,Jacob Oram,41,29,141.37,4,2,DEC,Kingsmead,27 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
229,Sachin Tendulkar,41,29,141.37,4,1,PBKS,Supersport Park,12 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
230,Parthiv Patel,32,23,139.13,4,1,PBKS,Kingsmead,20 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
231,Sachin Tendulkar,40,30,133.33,4,1,RR,Kingsmead,14 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
232,Subramaniam Badrinath,45,34,132.35,4,2,DC,New Wanderers Stadium,02 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
233,Parthiv Patel,25,19,131.57,4,0,KKR,Supersport Park,18 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
234,Ravindra Jadeja,42,32,131.25,4,1,MI,Kingsmead,14 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
235,Kumar Sangakkara,56,43,130.23,4,1,DEC,New Wanderers Stadium,17 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
236,Ajinkya Rahane,62,49,126.53,4,1,RCB,St George's Park,10 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
237,Jacques Kallis,27,22,122.72,4,0,PBKS,Kingsmead,01 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
238,JP Duminy,47,40,117.5,4,2,DEC,Kingsmead,25 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
239,JP Duminy,62,54,114.81,4,2,CSK,St George's Park,16 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
240,Rahul Dravid,38,34,111.76,4,0,DC,New Wanderers Stadium,19 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
241,George Bailey,30,27,111.11,4,0,KKR,Supersport Park,18 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
242,Matthew Hayden,48,44,109.09,4,1,RR,De Beers Diamond Oval,09 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
243,Virat Kohli,38,35,108.57,4,2,CSK,Kingsmead,14 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
244,Subramaniam Badrinath,29,27,107.4,4,0,RR,Supersport Park,30 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
245,Sanath Jayasuriya,29,27,107.4,4,0,RCB,St George's Park,10 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
