Unnamed: 0,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
1152,Johan Botha,17,5,340.0,4,0,DC,Eden Gardens,07 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1153,Mandeep Singh,45,18,250.0,4,3,KKR,M. Chinnaswamy Stadium,02 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1154,Wriddhiman Saha,19,8,237.5,4,0,RR,Narendra Modi Stadium,21 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1155,Eoin Morgan,63,28,225.0,4,5,RR,Brabourne Stadium,07 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1156,Umesh Yadav,24,11,218.18,4,1,RR,Brabourne Stadium,16 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1157,Kieron Pollard,64,30,213.33,4,5,CSK,Wankhede Stadium,17 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1158,Pawan Negi,36,17,211.76,4,1,MI,Chidambaram,08 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1159,Pawan Negi,27,13,207.69,4,1,KKR,Eden Gardens,30 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1160,Ambati Rayudu,53,27,196.29,4,3,RR,Wankhede Stadium,01 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1161,Glenn Maxwell,43,22,195.45,4,3,KKR,Eden Gardens,09 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1162,Suresh Raina,62,32,193.75,4,6,RCB,M. Chinnaswamy Stadium,22 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1163,George Bailey,61,32,190.62,4,3,MI,Wankhede Stadium,12 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1164,Andre Russell,37,20,185.0,4,2,RR,Brabourne Stadium,16 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1165,Faf du Plessis,33,18,183.33,4,1,RCB,M. Chinnaswamy Stadium,22 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1166,MS Dhoni,53,29,182.75,4,4,SRH,Chidambaram,11 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1167,AB de Villiers,66,38,173.68,4,4,RR,Maharashtra Cricket Association's International Stadium,20 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1168,Andre Russell,55,32,171.87,4,4,CSK,Eden Gardens,30 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1169,Jagadeesha Suchith,34,21,161.9,4,2,PBKS,Wankhede Stadium,12 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1170,Yusuf Pathan,30,19,157.89,4,0,SRH,Eden Gardens,04 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1171,KL Rahul,44,28,157.14,4,1,RCB,M. Chinnaswamy Stadium,13 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1172,JP Duminy,67,43,155.81,4,3,RCB,M. Chinnaswamy Stadium,17 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1173,Manish Pandey,23,15,153.33,4,0,RCB,Eden Gardens,11 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1174,Faf du Plessis,33,22,150.0,4,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1175,Suresh Raina,43,29,148.27,4,2,MI,Wankhede Stadium,17 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1176,Sarfaraz Khan,31,21,147.61,4,0,CSK,JSCA Stadium,22 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1177,Parthiv Patel,28,19,147.36,4,1,DC,Arun Jaitley Stadium,23 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1178,Manish Pandey,22,15,146.66,4,0,PBKS,Eden Gardens,09 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1179,David Warner,28,20,140.0,4,0,DC,ACA-VDCA Stadium,18 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1180,Parthiv Patel,35,25,140.0,4,1,CSK,Wankhede Stadium,19 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1181,Ajinkya Rahane,23,17,135.29,4,0,CSK,Chidambaram,10 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1182,Mandeep Singh,27,20,135.0,4,0,RR,M. Chinnaswamy Stadium,29 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1183,Shreyas Iyer,54,40,135.0,4,3,PBKS,Arun Jaitley Stadium,01 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1184,Corey Anderson,55,41,134.14,4,3,KKR,Eden Gardens,08 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1185,Shikhar Dhawan,24,18,133.33,4,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1186,Murali Vijay,28,21,133.33,4,1,KKR,Eden Gardens,09 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1187,Iqbal Abdulla,20,15,133.33,4,0,MI,M. Chinnaswamy Stadium,19 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1188,Murali Vijay,24,18,133.33,4,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1189,Brendon McCullum,20,15,133.33,4,0,RCB,Chidambaram,04 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1190,Robin Uthappa,35,28,125.0,4,0,RCB,Eden Gardens,11 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1191,Lendl Simmons,38,31,122.58,4,1,RR,Wankhede Stadium,01 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1192,Ambati Rayudu,49,40,122.5,4,1,DC,Wankhede Stadium,05 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1193,Yuvraj Singh,22,18,122.22,4,0,RR,Brabourne Stadium,03 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1194,Virat Kohli,51,42,121.42,4,2,CSK,M. Chinnaswamy Stadium,22 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1195,Suresh Raina,41,34,120.58,4,0,PBKS,IS Bindra Stadium,16 May 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1196,Shikhar Dhawan,50,42,119.04,4,2,RCB,M. Chinnaswamy Stadium,13 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1197,Shane Watson,26,22,118.18,4,1,RCB,Narendra Modi Stadium,24 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1198,Ajinkya Rahane,46,39,117.94,4,0,MI,Narendra Modi Stadium,14 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1199,Shikhar Dhawan,54,46,117.39,4,1,KKR,ACA-VDCA Stadium,22 April 2015,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1200,Quinton de Kock,108,51,211.76,15,3,RCB,M. Chinnaswamy Stadium,17 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1201,Hashim Amla,96,56,171.42,14,2,SRH,IS Bindra Stadium,15 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1202,Gautam Gambhir,90,60,150.0,13,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,16 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1203,Virat Kohli,113,50,226.0,12,8,PBKS,M. Chinnaswamy Stadium,18 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1204,Aaron Finch,74,47,157.44,12,0,PBKS,IS Bindra Stadium,11 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1205,Murali Vijay,89,57,156.14,12,1,RCB,IS Bindra Stadium,09 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1206,David Warner,93,58,160.34,11,3,GL,Arun Jaitley Stadium,27 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1207,Virat Kohli,100,63,158.73,11,1,GL,Saurashtra Cricket Association Stadium,24 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1208,AB de Villiers,129,52,248.07,10,12,GL,M. Chinnaswamy Stadium,14 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1209,Rohit Sharma,84,54,155.55,10,2,KKR,Eden Gardens,13 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1210,Shikhar Dhawan,82,57,143.85,10,1,MI,ACA-VDCA Stadium,08 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1211,Parthiv Patel,81,58,139.65,10,2,PBKS,IS Bindra Stadium,25 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1212,Robin Uthappa,53,28,189.28,9,0,PBKS,IS Bindra Stadium,19 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1213,David Warner,92,50,184.0,9,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1214,Rishabh Pant,69,40,172.5,9,2,GL,Saurashtra Cricket Association Stadium,03 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1215,Dwayne Smith,63,37,170.27,9,1,RPS,Maharashtra Cricket Association's International Stadium,29 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1216,AB de Villiers,55,33,166.66,9,1,DC,M. Chinnaswamy Stadium,17 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1217,David Warner,74,48,154.16,9,0,GL,Saurashtra Cricket Association Stadium,21 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1218,Suresh Raina,75,51,147.05,9,0,SRH,Saurashtra Cricket Association Stadium,21 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1219,Quinton de Kock,59,42,140.47,9,1,PBKS,Arun Jaitley Stadium,15 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1220,Karun Nair,68,50,136.0,9,1,KKR,Arun Jaitley Stadium,30 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1221,Saurabh Tiwary,52,39,133.33,9,0,RCB,M. Chinnaswamy Stadium,07 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1222,Steve Smith,101,54,187.03,8,5,GL,Maharashtra Cricket Association's International Stadium,29 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1223,Virat Kohli,108,58,186.2,8,7,RPS,M. Chinnaswamy Stadium,07 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1224,David Warner,69,38,181.57,8,3,RCB,M. Chinnaswamy Stadium,29 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1225,Brendon McCullum,48,27,177.77,8,1,MI,Green Park,21 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1226,Dinesh Karthik,51,29,175.86,8,1,KKR,Eden Gardens,08 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1227,Suresh Raina,58,36,161.11,8,2,MI,Green Park,21 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1228,Ajinkya Rahane,74,48,154.16,8,2,RCB,M. Chinnaswamy Stadium,07 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1229,Yuvraj Singh,44,30,146.66,8,1,KKR,Arun Jaitley Stadium,25 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1230,Rohit Sharma,85,60,141.66,8,3,RPS,Maharashtra Cricket Association's International Stadium,01 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1231,Karun Nair,83,59,140.67,8,3,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,20 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1232,Rohit Sharma,68,49,138.77,8,2,KKR,Wankhede Stadium,28 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1233,Ajinkya Rahane,60,46,130.43,8,0,RCB,Maharashtra Cricket Association's International Stadium,22 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1234,David Warner,73,56,130.35,8,1,DC,Shaheed Veer Narayan Singh International Cricket Stadium,20 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1235,Faf du Plessis,67,53,126.41,8,0,PBKS,IS Bindra Stadium,17 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1236,Krunal Pandya,86,37,232.43,7,6,DC,ACA-VDCA Stadium,15 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1237,AB de Villiers,82,42,195.23,7,6,SRH,M. Chinnaswamy Stadium,12 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1238,Nitish Rana,70,36,194.44,7,4,GL,Green Park,21 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1239,David Warner,59,31,190.32,7,3,PBKS,Rajiv Gandhi Intl. Cricket Stadium,23 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1240,Virat Kohli,79,48,164.58,7,3,DC,M. Chinnaswamy Stadium,17 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1241,Dinesh Karthik,41,26,157.69,7,0,PBKS,IS Bindra Stadium,11 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1242,Wriddhiman Saha,52,33,157.57,7,0,DC,IS Bindra Stadium,07 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1243,Ajinkya Rahane,66,42,157.14,7,3,MI,Wankhede Stadium,09 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1244,Aaron Finch,50,32,156.25,7,2,SRH,Arun Jaitley Stadium,27 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1245,Manan Vohra,51,33,154.54,7,0,RPS,IS Bindra Stadium,17 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1246,Yusuf Pathan,63,41,153.65,7,1,GL,Eden Gardens,08 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1247,David Warner,90,59,152.54,7,4,MI,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1248,Gautam Gambhir,51,34,150.0,7,0,RCB,Eden Gardens,16 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1249,Harbhajan Singh,45,30,150.0,7,1,RPS,Wankhede Stadium,09 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1250,Suresh Raina,53,36,147.22,7,1,KKR,Green Park,19 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1251,Virat Kohli,75,51,147.05,7,3,SRH,M. Chinnaswamy Stadium,12 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1252,David Warner,48,33,145.45,7,1,MI,ACA-VDCA Stadium,08 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1253,Aaron Finch,50,36,138.88,7,2,RPS,Saurashtra Cricket Association Stadium,14 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1254,Rohit Sharma,65,48,135.41,7,1,DC,Arun Jaitley Stadium,23 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1255,Kane Williamson,50,38,131.57,7,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1256,Ajinkya Rahane,63,48,131.25,7,0,DC,Arun Jaitley Stadium,05 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1257,Steve Smith,46,36,127.77,7,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,26 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1258,Virat Kohli,80,63,126.98,7,2,RPS,Maharashtra Cricket Association's International Stadium,22 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1259,Aaron Finch,67,54,124.07,7,1,MI,Wankhede Stadium,16 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1260,Robin Uthappa,35,33,106.06,7,0,DC,Eden Gardens,10 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1261,Yusuf Pathan,60,29,206.89,6,3,RCB,M. Chinnaswamy Stadium,02 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1262,KL Rahul,51,28,182.14,6,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1263,AB de Villiers,83,46,180.43,6,4,RPS,Maharashtra Cricket Association's International Stadium,22 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1264,Quinton de Kock,52,30,173.33,6,2,PBKS,IS Bindra Stadium,07 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1265,KL Rahul,42,25,168.0,6,1,PBKS,IS Bindra Stadium,09 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1266,Brendon McCullum,60,36,166.66,6,3,DC,Arun Jaitley Stadium,27 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1267,KL Rahul,52,32,162.5,6,2,KKR,M. Chinnaswamy Stadium,02 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1268,Glenn Maxwell,68,42,161.9,6,4,KKR,Eden Gardens,04 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1269,David Warner,46,30,153.33,6,1,DC,Rajiv Gandhi Intl. Cricket Stadium,12 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1270,Robin Uthappa,70,49,142.85,6,2,PBKS,Eden Gardens,04 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1271,Wriddhiman Saha,56,40,140.0,6,1,MI,ACA-VDCA Stadium,13 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1272,Robin Uthappa,72,52,138.46,6,2,DC,Arun Jaitley Stadium,30 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1273,Murali Vijay,55,41,134.14,6,0,GL,Saurashtra Cricket Association Stadium,01 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1274,Gautam Gambhir,59,45,131.11,6,1,MI,Wankhede Stadium,28 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1275,Karun Nair,54,42,128.57,6,1,RCB,M. Chinnaswamy Stadium,17 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1276,Suryakumar Yadav,60,49,122.44,6,2,RPS,Maharashtra Cricket Association's International Stadium,24 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1277,Virat Kohli,54,45,120.0,6,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1278,Gautam Gambhir,54,45,120.0,6,1,PBKS,Eden Gardens,04 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1279,Shikhar Dhawan,47,40,117.5,6,0,GL,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1280,Sarfaraz Khan,35,10,350.0,5,2,SRH,M. Chinnaswamy Stadium,12 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1281,Shane Watson,36,13,276.92,5,2,RPS,M. Chinnaswamy Stadium,07 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1282,Wriddhiman Saha,24,10,240.0,5,0,RCB,M. Chinnaswamy Stadium,18 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1283,Virat Kohli,109,55,198.18,5,8,GL,M. Chinnaswamy Stadium,14 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1284,Brendon McCullum,43,22,195.45,5,2,RPS,Maharashtra Cricket Association's International Stadium,29 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1285,AB de Villiers,59,31,190.32,5,3,KKR,Eden Gardens,16 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1286,AB de Villiers,64,35,182.85,5,2,PBKS,IS Bindra Stadium,09 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1287,Dwayne Smith,73,41,178.04,5,6,RCB,M. Chinnaswamy Stadium,24 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1288,Dwayne Smith,53,30,176.66,5,3,DC,Arun Jaitley Stadium,27 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1289,Brendon McCullum,42,24,175.0,5,2,RCB,Saurashtra Cricket Association Stadium,24 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1290,AB de Villiers,79,47,168.08,5,5,GL,M. Chinnaswamy Stadium,24 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1291,Shane Watson,34,21,161.9,5,1,KKR,M. Chinnaswamy Stadium,02 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1292,Faf du Plessis,69,43,160.46,5,4,GL,Saurashtra Cricket Association Stadium,14 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1293,Ambati Rayudu,32,20,160.0,5,1,KKR,Wankhede Stadium,28 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1294,Chris Gayle,49,31,158.06,5,4,KKR,Eden Gardens,16 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1295,Virat Kohli,54,35,154.28,5,2,SRH,M. Chinnaswamy Stadium,29 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1296,Virat Kohli,75,51,147.05,5,3,KKR,Eden Gardens,16 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1297,Steve Smith,38,26,146.15,5,0,PBKS,IS Bindra Stadium,17 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1298,Glenn Maxwell,56,39,143.58,5,1,MI,IS Bindra Stadium,25 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1299,Manish Pandey,50,35,142.85,5,2,RCB,Eden Gardens,16 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1300,Quinton de Kock,44,31,141.93,5,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1301,Karun Nair,32,23,139.13,5,0,RPS,Arun Jaitley Stadium,05 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1302,Shaun Marsh,56,41,136.58,5,1,KKR,IS Bindra Stadium,19 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1303,Ambati Rayudu,31,23,134.78,5,0,RCB,Wankhede Stadium,20 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1304,Manan Vohra,32,24,133.33,5,0,DC,Arun Jaitley Stadium,15 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1305,Shikhar Dhawan,53,41,129.26,5,0,GL,Saurashtra Cricket Association Stadium,21 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1306,David Warner,52,41,126.82,5,1,PBKS,IS Bindra Stadium,15 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1307,Murali Vijay,42,34,123.52,5,1,GL,IS Bindra Stadium,11 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1308,Dinesh Karthik,53,43,123.25,5,0,DC,Saurashtra Cricket Association Stadium,03 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1309,Ajinkya Rahane,53,45,117.77,5,0,GL,Maharashtra Cricket Association's International Stadium,29 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1310,Ajinkya Rahane,42,36,116.66,5,1,DC,ACA-VDCA Stadium,17 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1311,Quinton de Kock,60,52,115.38,5,1,RCB,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1312,Brendon McCullum,32,29,110.34,5,0,SRH,Arun Jaitley Stadium,27 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1313,Murali Vijay,53,49,108.16,5,2,RPS,IS Bindra Stadium,17 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1314,Murali Vijay,54,52,103.84,5,1,MI,ACA-VDCA Stadium,13 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1315,Karun Nair,41,43,95.34,5,0,RPS,ACA-VDCA Stadium,17 May 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1316,Gautam Gambhir,38,41,92.68,5,0,DC,Eden Gardens,10 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1317,Chris Morris,82,32,256.25,4,8,GL,Arun Jaitley Stadium,27 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1318,Yusuf Pathan,19,8,237.5,4,0,MI,Wankhede Stadium,28 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
1319,David Warner,58,25,232.0,4,5,RCB,M. Chinnaswamy Stadium,12 April 2016,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
