POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year,Metric,Source_File
51,Amit Mishra,3.0,13,0,7,4.33,0.0,KKR,Eden Gardens,13 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
52,Dilhara Fernando,4.0,18,4,16,4.5,6.0,RCB,M. Chinnaswamy Stadium,28 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
53,Pragyan Ojha,4.0,18,2,11,4.5,12.0,KKR,Eden Gardens,20 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
54,Anil Kumble,4.0,18,2,12,4.5,12.0,DC,M. Chinnaswamy Stadium,19 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
55,Irfan Pathan,4.0,18,2,15,4.5,12.0,KKR,IS Bindra Stadium,03 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
56,Manpreet Gony,4.0,18,1,14,4.5,24.0,MI,Chidambaram,23 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
57,Yusuf Pathan,2.0,9,0,6,4.5,0.0,CSK,Sawai Mansingh Stadium,04 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
58,Lakshmipathy Balaji,2.0,9,0,9,4.5,0.0,MI,Wankhede Stadium,14 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
59,Murali Kartik,3.4,17,3,14,4.63,7.33,DEC,Eden Gardens,20 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
60,Shaun Pollock,3.0,14,1,10,4.66,18.0,PBKS,Wankhede Stadium,21 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
61,Jacques Kallis,3.0,14,0,5,4.66,0.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
62,Shane Warne,4.0,19,3,11,4.75,8.0,PBKS,Sawai Mansingh Stadium,21 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
63,Dale Steyn,4.0,19,2,12,4.75,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
64,Mohammad Asif,4.0,19,2,16,4.75,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
65,Irfan Pathan,4.0,19,2,15,4.75,12.0,MI,IS Bindra Stadium,25 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
