Unnamed: 0.1,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0,Year,Metric,Source_File
70,Venugopal Rao,3.0,25,2,9.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
71,Musavir Khote,3.0,29,2,9.0,CSK,Chidambaram,23 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
72,Shane Watson,3.1,22,2,9.5,KKR,Sawai Mansingh Stadium,01 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
73,Umar Gul,3.3,30,2,10.5,RR,Eden Gardens,20 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
74,Joginder Sharma,3.4,27,2,11.0,RCB,M. Chinnaswamy Stadium,28 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
75,Virat Kohli,3.4,25,2,11.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
76,Irfan Pathan,4.0,19,2,12.0,MI,IS Bindra Stadium,25 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
77,RP Singh,4.0,15,2,12.0,MI,DY Patil Stadium,27 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
78,Munaf Patel,4.0,16,2,12.0,CSK,Sawai Mansingh Stadium,04 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
79,Muttiah Muralitharan,4.0,40,2,12.0,MI,Chidambaram,23 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
80,Vikram Singh,4.0,28,2,12.0,KKR,Eden Gardens,25 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
81,Albie Morkel,4.0,35,2,12.0,DC,Arun Jaitley Stadium,08 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
82,Manpreet Gony,4.0,14,2,12.0,PBKS,Wankhede Stadium,31 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
83,Yo Mahesh,4.0,34,2,12.0,KKR,Eden Gardens,13 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
84,Praveen Kumar,4.0,22,2,12.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
85,Shaun Pollock,4.0,27,2,12.0,KKR,Eden Gardens,29 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
86,Munaf Patel,4.0,21,2,12.0,RCB,Sawai Mansingh Stadium,17 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
87,Harbhajan Singh,4.0,36,2,12.0,RCB,Wankhede Stadium,20 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
