POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
57,Dinesh Karthik,56,32,175.0,4,3,MI,Arun Jaitley Stadium,24 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
58,Yuvraj Singh,57,34,167.64,6,3,RR,Sawai Mansingh Stadium,21 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
59,Gautam Gambhir,79,48,164.58,7,3,DEC,Arun Jaitley Stadium,15 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
60,Luke Pomersbach,79,50,158.0,10,3,MI,Wankhede Stadium,21 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
61,Ross Taylor,53,34,155.88,3,3,CSK,M. Chinnaswamy Stadium,28 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
62,Shikhar Dhawan,50,33,151.51,4,3,RCB,Arun Jaitley Stadium,30 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
63,Venugopal Rao,57,38,150.0,4,3,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
64,Suresh Raina,53,37,143.24,3,3,MI,Chidambaram,23 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
65,Matthew Hayden,70,49,142.85,6,3,KKR,Chidambaram,26 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
66,James Hopes,27,19,142.1,0,3,RCB,IS Bindra Stadium,12 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
67,Dwaraka Ravi Teja,37,27,137.03,2,3,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
68,Subramaniam Badrinath,64,47,136.17,6,3,PBKS,Chidambaram,10 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
69,Rohit Sharma,57,42,135.71,5,3,RCB,M. Chinnaswamy Stadium,03 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
70,Shaun Marsh,60,46,130.43,3,3,DEC,IS Bindra Stadium,23 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
71,Herschelle Gibbs,44,34,129.41,3,3,PBKS,IS Bindra Stadium,23 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
