Unnamed: 0,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year,Metric,Source_File
1009,Harbhajan Singh,4.0,22,0,10,5.5,0.0,CSK,Wankhede Stadium,10 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1010,Mohit Sharma,3.0,17,1,6,5.66,18.0,DC,Zayed Cricket Stadium,21 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1011,Rahul Tewatia,3.0,17,1,9,5.66,18.0,RCB,M. Chinnaswamy Stadium,11 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1012,Yuzvendra Chahal,3.0,17,1,13,5.66,18.0,RR,Zayed Cricket Stadium,26 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1013,Lasith Malinga,4.0,23,4,10,5.75,6.0,KKR,Zayed Cricket Stadium,16 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1014,Rajat Bhatia,4.0,23,3,6,5.75,8.0,SRH,Narendra Modi Stadium,08 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1015,Ankit Sharma,4.0,23,2,10,5.75,12.0,MI,Narendra Modi Stadium,19 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1016,Dhawal Kulkarni,4.0,23,2,11,5.75,12.0,SRH,Zayed Cricket Stadium,18 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1017,Yuzvendra Chahal,4.0,23,2,8,5.75,12.0,PBKS,Dubai International Stadium,28 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1018,Rishi Dhawan,4.0,23,2,12,5.75,12.0,MI,Wankhede Stadium,03 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1019,Bhuvneshwar Kumar,4.0,23,2,10,5.75,12.0,CSK,Sharjah Cricket Stadium,27 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1020,Yuzvendra Chahal,4.0,23,2,7,5.75,12.0,PBKS,M. Chinnaswamy Stadium,09 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1021,Morne Morkel,4.0,23,2,14,5.75,12.0,PBKS,Eden Gardens,28 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1022,Ishwar Pandey,4.0,23,2,13,5.75,12.0,DC,Zayed Cricket Stadium,21 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1023,Zaheer Khan,4.0,23,1,11,5.75,24.0,KKR,Zayed Cricket Stadium,16 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1024,Piyush Chawla,4.0,23,1,7,5.75,24.0,PBKS,Eden Gardens,28 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1025,Ravindra Jadeja,4.0,23,1,10,5.75,24.0,DC,Arun Jaitley Stadium,05 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1026,Shakib Al Hasan,4.0,23,1,8,5.75,24.0,RR,Zayed Cricket Stadium,29 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1027,Karn Sharma,4.0,23,1,10,5.75,24.0,DC,Dubai International Stadium,25 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1028,Axar Patel,4.0,23,1,8,5.75,24.0,CSK,Wankhede Stadium,30 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1029,Bhuvneshwar Kumar,4.0,23,1,10,5.75,24.0,DC,Arun Jaitley Stadium,10 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1030,Mitchell Starc,4.0,23,0,9,5.75,0.0,CSK,JSCA Stadium,18 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1031,Mohammad Shami,4.0,23,0,8,5.75,0.0,KKR,Arun Jaitley Stadium,07 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1032,Pravin Tambe,4.0,23,0,8,5.75,0.0,SRH,Zayed Cricket Stadium,18 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1033,Harbhajan Singh,4.0,23,0,10,5.75,0.0,DC,Sharjah Cricket Stadium,27 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1034,Dale Steyn,4.0,23,0,9,5.75,0.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1035,Sunil Narine,4.0,24,3,11,6.0,8.0,PBKS,Zayed Cricket Stadium,26 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1036,Axar Patel,4.0,24,3,6,6.0,8.0,RR,IS Bindra Stadium,23 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1037,Rajat Bhatia,3.0,18,2,7,6.0,9.0,DC,Narendra Modi Stadium,15 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1038,Bhuvneshwar Kumar,3.3,21,1,9,6.0,21.0,RR,Zayed Cricket Stadium,18 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1039,Albie Morkel,3.0,18,1,7,6.0,18.0,DC,Sharjah Cricket Stadium,17 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1040,Shahbaz Nadeem,4.0,24,1,12,6.0,24.0,SRH,Dubai International Stadium,25 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1041,Dale Steyn,4.0,24,1,10,6.0,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1042,Rishi Dhawan,4.0,24,1,7,6.0,24.0,KKR,Zayed Cricket Stadium,26 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1043,Sunil Narine,4.0,24,1,11,6.0,24.0,CSK,Eden Gardens,20 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1044,Piyush Chawla,4.0,24,1,10,6.0,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1045,Rahul Tewatia,4.0,24,1,10,6.0,24.0,PBKS,IS Bindra Stadium,23 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1046,Yuzvendra Chahal,4.0,24,1,8,6.0,24.0,RR,M. Chinnaswamy Stadium,11 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1047,Dhawal Kulkarni,4.0,24,1,10,6.0,24.0,DC,Narendra Modi Stadium,15 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1048,Ravichandran Ashwin,4.0,24,0,9,6.0,0.0,KKR,Eden Gardens,20 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1049,Yuzvendra Chahal,4.0,24,0,8,6.0,0.0,CSK,M. Chinnaswamy Stadium,24 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1050,Zaheer Khan,4.0,9,2,18,2.25,12.0,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1051,Ashish Nehra,4.0,10,4,14,2.5,6.0,RCB,M. Chinnaswamy Stadium,22 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1052,Ravichandran Ashwin,2.0,5,2,8,2.5,6.0,KKR,Chidambaram,28 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1053,Ravindra Jadeja,4.0,11,4,11,2.75,6.0,RR,Chidambaram,10 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1054,Harbhajan Singh,4.0,11,2,15,2.75,12.0,DC,Wankhede Stadium,05 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1055,Dhawal Kulkarni,3.0,9,2,13,3.0,9.0,SRH,ACA-VDCA Stadium,16 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
