Unnamed: 0,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year,Metric,Source_File
938,JP Duminy,3.0,13,0,9,4.33,0.0,MI,Sharjah Cricket Stadium,27 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
939,Kane Richardson,4.0,18,2,11,4.5,12.0,RCB,Zayed Cricket Stadium,26 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
940,Ravindra Jadeja,4.0,18,2,10,4.5,12.0,RR,JSCA Stadium,13 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
941,Ben Hilfenhaus,2.0,9,1,7,4.5,12.0,DC,Zayed Cricket Stadium,21 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
942,Yuzvendra Chahal,4.0,18,1,11,4.5,24.0,DC,Sharjah Cricket Stadium,17 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
943,Abu Nechim,4.0,18,1,7,4.5,24.0,CSK,JSCA Stadium,18 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
944,Sunil Narine,4.0,18,1,9,4.5,24.0,DC,Dubai International Stadium,19 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
945,Sunil Narine,4.0,18,1,10,4.5,24.0,MI,Barabati Stadium,14 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
946,Axar Patel,4.0,18,1,12,4.5,24.0,DC,Arun Jaitley Stadium,19 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
947,Piyush Chawla,4.0,19,3,7,4.75,8.0,PBKS,Barabati Stadium,11 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
948,Piyush Chawla,4.0,19,3,10,4.75,8.0,PBKS,Zayed Cricket Stadium,26 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
949,Bhuvneshwar Kumar,4.0,19,3,15,4.75,8.0,PBKS,Sharjah Cricket Stadium,22 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
950,Karn Sharma,4.0,19,2,12,4.75,12.0,CSK,JSCA Stadium,22 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
951,Mitchell Johnson,4.0,19,2,12,4.75,12.0,RCB,Dubai International Stadium,28 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
952,Samuel Badree,4.0,19,1,15,4.75,24.0,RR,JSCA Stadium,13 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
953,Shahbaz Nadeem,4.0,19,1,9,4.75,24.0,MI,Sharjah Cricket Stadium,27 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
954,Karn Sharma,4.0,19,1,9,4.75,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
955,Sunil Narine,4.0,19,0,10,4.75,0.0,SRH,Eden Gardens,24 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
956,Sunil Narine,4.0,20,4,13,5.0,6.0,MI,Zayed Cricket Stadium,16 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
957,Sunil Narine,4.0,20,4,9,5.0,6.0,RCB,Eden Gardens,22 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
958,Pravin Tambe,4.0,20,4,14,5.0,6.0,RCB,Zayed Cricket Stadium,26 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
959,Sandeep Sharma,3.0,15,3,12,5.0,6.0,RCB,Dubai International Stadium,28 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
960,Dale Steyn,4.0,20,2,15,5.0,12.0,MI,Dubai International Stadium,30 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
961,Morne Morkel,4.0,20,2,16,5.0,12.0,PBKS,Barabati Stadium,11 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
962,Dale Steyn,4.0,20,2,11,5.0,12.0,DC,Arun Jaitley Stadium,10 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
963,Ankit Sharma,4.0,20,2,12,5.0,12.0,CSK,JSCA Stadium,13 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
964,Irfan Pathan,2.0,10,2,4,5.0,6.0,MI,Dubai International Stadium,30 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
965,Parvinder Awana,3.0,15,2,11,5.0,9.0,DC,IS Bindra Stadium,25 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
966,Axar Patel,4.0,20,2,10,5.0,12.0,SRH,Sharjah Cricket Stadium,22 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
967,Piyush Chawla,3.0,15,1,7,5.0,18.0,MI,Zayed Cricket Stadium,16 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
968,Albie Morkel,4.0,20,1,12,5.0,24.0,PBKS,M. Chinnaswamy Stadium,09 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
969,Karn Sharma,4.0,20,1,6,5.0,24.0,RR,Narendra Modi Stadium,08 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
970,Praveen Kumar,4.0,20,1,16,5.0,24.0,PBKS,IS Bindra Stadium,21 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
971,Dale Steyn,4.0,20,0,12,5.0,0.0,CSK,Sharjah Cricket Stadium,27 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
972,Ravichandran Ashwin,4.0,20,0,9,5.0,0.0,MI,Dubai International Stadium,25 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
973,James Faulkner,4.0,20,0,9,5.0,0.0,SRH,Narendra Modi Stadium,08 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
974,Suresh Raina,4.0,20,0,9,5.0,0.0,RCB,JSCA Stadium,18 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
975,Axar Patel,4.0,20,0,12,5.0,0.0,KKR,Barabati Stadium,11 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
976,JP Duminy,2.0,10,0,6,5.0,0.0,RCB,Sharjah Cricket Stadium,17 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
977,Samuel Badree,3.0,15,0,7,5.0,0.0,RCB,JSCA Stadium,18 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
978,Shane Watson,4.0,21,3,12,5.25,8.0,KKR,Narendra Modi Stadium,05 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
979,Sandeep Sharma,4.0,21,3,16,5.25,8.0,KKR,Zayed Cricket Stadium,26 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
980,Wayne Parnell,4.0,21,2,11,5.25,12.0,KKR,Arun Jaitley Stadium,07 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
981,Mitchell Starc,4.0,21,2,11,5.25,12.0,SRH,M. Chinnaswamy Stadium,04 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
982,Bhuvneshwar Kumar,4.0,21,2,12,5.25,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
983,Mitchell Starc,4.0,21,2,11,5.25,12.0,MI,Dubai International Stadium,19 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
984,Zaheer Khan,4.0,21,2,12,5.25,12.0,RCB,Dubai International Stadium,19 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
985,Pravin Tambe,4.0,21,1,7,5.25,24.0,SRH,Narendra Modi Stadium,08 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
986,Sunil Narine,4.0,21,1,13,5.25,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
987,Ravichandran Ashwin,4.0,21,1,11,5.25,24.0,KKR,JSCA Stadium,02 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
988,Shakib Al Hasan,4.0,21,1,13,5.25,24.0,MI,Barabati Stadium,14 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
989,Axar Patel,4.0,21,0,10,5.25,0.0,KKR,M. Chinnaswamy Stadium,01 June 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
990,Ishwar Pandey,4.0,21,0,12,5.25,0.0,MI,Dubai International Stadium,25 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
991,Morne Morkel,4.0,21,0,14,5.25,0.0,RCB,Eden Gardens,22 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
992,Mohit Sharma,3.0,16,1,9,5.33,18.0,RCB,M. Chinnaswamy Stadium,24 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
993,Tim Southee,3.0,16,0,9,5.33,0.0,RCB,Zayed Cricket Stadium,26 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
994,James Faulkner,2.0,11,3,7,5.5,4.0,KKR,Zayed Cricket Stadium,29 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
995,Imran Tahir,4.0,22,3,11,5.5,8.0,PBKS,Arun Jaitley Stadium,19 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
996,Harbhajan Singh,4.0,22,2,10,5.5,12.0,KKR,Barabati Stadium,14 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
997,Karanveer Singh,4.0,22,2,8,5.5,12.0,DC,IS Bindra Stadium,25 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
998,Jasprit Bumrah,4.0,22,2,12,5.5,12.0,RCB,Wankhede Stadium,06 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
999,Rajat Bhatia,4.0,22,2,7,5.5,12.0,SRH,Zayed Cricket Stadium,18 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1000,Dwayne Smith,2.0,11,1,4,5.5,12.0,SRH,Sharjah Cricket Stadium,27 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1001,Moises Henriques,2.0,11,1,5,5.5,12.0,RR,Narendra Modi Stadium,08 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1002,Ishwar Pandey,4.0,22,1,14,5.5,24.0,RR,Dubai International Stadium,23 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1003,Axar Patel,4.0,22,1,14,5.5,24.0,RR,Sharjah Cricket Stadium,20 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1004,Rishi Dhawan,4.0,22,1,11,5.5,24.0,DC,IS Bindra Stadium,25 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1005,Mohammad Shami,4.0,22,1,10,5.5,24.0,RR,Arun Jaitley Stadium,03 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1006,Axar Patel,4.0,22,1,7,5.5,24.0,RCB,M. Chinnaswamy Stadium,09 May 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1007,Axar Patel,2.0,11,0,5,5.5,0.0,RCB,Dubai International Stadium,28 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1008,Lasith Malinga,4.0,22,0,11,5.5,0.0,CSK,Dubai International Stadium,25 April 2014,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
