POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Unnamed: 0,Year,Metric,Source_File
,Adam Zampa,5,5,17.0,115,12,6/19,9.58,6.76,8.5,0,1,923.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Moises Henriques,17,17,52.0,415,12,2/17,34.58,7.98,26.0,0,0,924.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Sunil Narine,11,11,42.5,304,11,3/26,27.63,7.09,23.36,0,0,925.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Sreenath Aravind,9,9,29.1,216,11,2/18,19.63,7.4,15.9,0,0,926.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Ashok Dinda,9,9,30.3,231,11,3/20,21.0,7.57,16.63,0,0,927.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Piyush Chawla,12,11,35.2,273,11,2/21,24.81,7.72,19.27,0,0,928.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Chris Jordan,9,9,28.0,258,11,4/11,23.45,9.21,15.27,1,0,929.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Ravichandran Ashwin,14,14,44.0,319,10,4/34,31.9,7.25,26.4,1,0,930.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Zaheer Khan,12,12,43.4,337,10,3/21,33.7,7.71,26.2,0,0,931.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Morne Morkel,10,10,35.3,297,10,2/27,29.7,8.36,21.3,0,0,932.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Umesh Yadav,9,9,26.0,234,10,3/28,23.4,9.0,15.6,0,0,933.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Tim Southee,11,11,43.0,329,9,3/24,36.55,7.65,28.66,0,0,934.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Ashish Nehra,8,8,26.0,199,9,3/15,22.11,7.65,17.33,0,0,935.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Praveen Kumar,16,16,51.3,401,9,2/19,44.55,7.78,34.33,0,0,936.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Harbhajan Singh,14,14,49.0,392,9,2/29,43.55,8.0,32.66,0,0,937.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Thisara Perera,12,11,33.1,326,9,3/34,36.22,9.82,22.11,0,0,938.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Ravindra Jadeja,15,14,40.1,311,8,2/18,38.87,7.74,30.12,0,0,939.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Marcus Stoinis,7,7,23.0,194,8,4/15,24.25,8.43,17.25,1,0,940.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Dwayne Smith,12,8,18.0,153,8,4/8,19.12,8.5,13.5,1,0,941.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Carlos Brathwaite,8,8,23.1,185,7,3/43,26.42,7.98,19.85,0,0,942.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Murugan Ashwin,10,10,28.3,241,7,3/36,34.42,8.45,24.42,0,0,943.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Kane Richardson,4,4,14.0,136,7,3/13,19.42,9.71,12.0,0,0,944.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Rajat Bhatia,10,10,34.0,244,6,2/19,40.66,7.17,34.0,0,0,945.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Krunal Pandya,12,11,31.1,236,6,2/15,39.33,7.57,31.16,0,0,946.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Kuldeep Yadav,3,3,12.0,100,6,3/35,16.66,8.33,12.0,0,0,947.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Shivil Kaushik,7,7,23.0,192,6,3/20,32.0,8.34,23.0,0,0,948.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Iqbal Abdulla,8,8,25.0,213,6,3/40,35.5,8.52,25.0,0,0,949.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Ben Cutting,4,4,11.1,80,5,2/20,16.0,7.16,13.4,0,0,950.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Shakib Al Hasan,10,9,31.0,243,5,1/14,48.6,7.83,37.2,0,0,951.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Imran Tahir,4,4,16.0,138,5,3/24,27.6,8.62,19.2,0,0,952.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Pravin Tambe,7,7,16.0,143,5,2/12,28.6,8.93,19.2,0,0,953.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Mohammad Shami,8,8,25.1,244,5,2/34,48.8,9.69,30.2,0,0,954.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Mitchell Marsh,3,3,9.0,45,4,2/14,11.25,5.0,13.5,0,0,955.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Brad Hogg,5,5,16.0,142,4,3/19,35.5,8.87,24.0,0,0,956.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Vinay Kumar,3,3,9.0,64,3,2/17,21.33,7.11,18.0,0,0,957.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Deepak Hooda,17,6,13.0,97,3,2/16,32.33,7.46,26.0,0,0,958.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Nathan Coulter-Nile,4,4,15.0,114,3,2/25,38.0,7.6,30.0,0,0,959.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Pradeep Sahu,5,5,17.3,146,3,2/18,48.66,8.34,35.0,0,0,960.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Bipul Sharma,7,6,14.0,121,3,1/10,40.33,8.64,28.0,0,0,961.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Ankit Rajpoot,4,4,11.0,98,3,1/14,32.66,8.9,22.0,0,0,962.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Hardik Pandya,11,10,16.4,153,3,1/7,51.0,9.18,33.33,0,0,963.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Tabraiz Shamsi,4,4,16.0,147,3,1/21,49.0,9.18,32.0,0,0,964.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,RP Singh,4,4,12.0,111,3,1/23,37.0,9.25,24.0,0,0,965.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,KC Cariappa,5,5,17.0,159,3,2/16,53.0,9.35,34.0,0,0,966.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Ishant Sharma,4,4,15.0,148,3,2/36,49.33,9.86,30.0,0,0,967.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Sachin Baby,11,2,1.4,8,2,2/4,4.0,4.8,5.0,0,0,968.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,John Hastings,2,2,6.4,37,2,2/6,18.5,5.55,20.0,0,0,969.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Chris Gayle,10,4,10.0,63,2,2/11,31.5,6.3,30.0,0,0,970.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Jayant Yadav,5,5,17.0,125,2,1/23,62.5,7.35,51.0,0,0,971.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Scott Boland,2,2,7.0,54,2,2/31,27.0,7.71,21.0,0,0,972.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Gurkeerat Mann Singh,7,3,4.0,31,2,2/15,15.5,7.75,12.0,0,0,973.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,JP Duminy,10,5,7.0,55,2,1/4,27.5,7.85,21.0,0,0,974.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Jason Holder,4,4,13.0,103,2,2/33,51.5,7.92,39.0,0,0,975.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Rishi Dhawan,2,2,7.0,56,2,1/21,28.0,8.0,21.0,0,0,976.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Shahbaz Nadeem,4,4,15.0,127,2,2/23,63.5,8.46,45.0,0,0,977.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Shadab Jakati,6,6,20.0,178,2,1/13,89.0,8.9,60.0,0,0,978.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Varun Aaron,8,8,23.4,227,2,2/37,113.5,9.59,71.0,0,0,979.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Mitchell Johnson,3,3,11.0,106,2,1/35,53.0,9.63,33.0,0,0,980.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,James Faulkner,7,7,17.0,167,2,1/23,83.5,9.82,51.0,0,0,981.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Kyle Abbott,5,5,16.0,177,2,1/38,88.5,11.06,48.0,0,0,982.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Albie Morkel,2,2,5.0,66,2,2/36,33.0,13.2,15.0,0,0,983.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Yusuf Pathan,15,4,6.0,33,1,1/6,33.0,5.5,36.0,0,0,984.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Ankit Sharma,3,3,11.0,84,1,1/27,84.0,7.63,66.0,0,0,985.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Stuart Binny,14,11,17.0,134,1,1/17,134.0,7.88,102.0,0,0,986.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Parveez Rasool,4,4,14.0,129,1,1/31,129.0,9.21,84.0,0,0,987.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Pawan Negi,8,5,9.0,84,1,1/19,84.0,9.33,54.0,0,0,988.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Trent Boult,1,1,4.0,39,1,1/39,39.0,9.75,24.0,0,0,989.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Rajagopal Sathish,4,3,6.0,59,1,1/20,59.0,9.83,36.0,0,0,990.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Ashish Reddy,4,2,3.5,39,1,1/14,39.0,10.17,23.0,0,0,991.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Harshal Patel,5,5,14.0,147,1,1/46,147.0,10.5,84.0,0,0,992.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Adam Milne,1,1,4.0,43,1,1/43,43.0,10.75,24.0,0,0,993.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
