POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
4,Rohit Sharma,22,6,366.66,2,2,KKR,New Wanderers Stadium,16 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
5,Brendon McCullum,22,6,366.66,4,1,CSK,Supersport Park,18 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
6,Dwayne Bravo,21,6,350.0,2,2,PBKS,Supersport Park,12 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
7,Abhishek Nayar,21,5,420.0,0,3,CSK,Newlands,18 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
8,Naman Ojha,21,5,420.0,0,3,KKR,Kingsmead,20 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
9,Adam Gilchrist,20,6,333.33,5,0,DC,Supersport Park,22 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
10,Subramaniam Badrinath,20,6,333.33,3,1,RR,De Beers Diamond Oval,09 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
11,Matthew Hayden,19,5,380.0,3,1,RCB,St George's Park,20 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
12,Andrew Symonds,19,5,380.0,1,2,PBKS,De Beers Diamond Oval,09 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
13,Dwayne Smith,19,5,380.0,1,2,DC,Supersport Park,30 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
14,Rohit Sharma,19,5,380.0,0,3,RCB,Newlands,22 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
15,Ravindra Jadeja,19,6,316.66,2,1,PBKS,Kingsmead,05 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
16,Ravi Bopara,19,6,316.66,1,2,RCB,Kingsmead,24 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
17,Adam Gilchrist,18,6,300.0,3,1,PBKS,New Wanderers Stadium,17 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
18,Abhishek Raut,18,6,300.0,1,2,KKR,Newlands,23 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
