POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0,Year,Metric,Source_File
83.0,Manpreet Gony,4.0,14,2,12.0,PBKS,Wankhede Stadium,31 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
84.0,Yo Mahesh,4.0,34,2,12.0,KKR,Eden Gardens,13 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
85.0,Praveen Kumar,4.0,22,2,12.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
86.0,Shaun Pollock,4.0,27,2,12.0,KKR,Eden Gardens,29 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
87.0,Munaf Patel,4.0,21,2,12.0,RCB,Sawai Mansingh Stadium,17 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
88.0,Harbhajan Singh,4.0,36,2,12.0,RCB,Wankhede Stadium,20 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
89.0,Sohail Tanvir,4.0,30,2,12.0,KKR,Sawai Mansingh Stadium,01 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
90.0,Mohammad Asif,4.0,39,2,12.0,PBKS,IS Bindra Stadium,27 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
91.0,Shane Warne,4.0,20,2,12.0,DEC,Sawai Mansingh Stadium,09 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
92.0,Shanthakumaran Sreesanth,4.0,31,2,12.0,MI,IS Bindra Stadium,25 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
93.0,Joginder Sharma,4.0,29,2,12.0,MI,Chidambaram,23 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
94.0,Pragyan Ojha,4.0,30,2,12.0,PBKS,IS Bindra Stadium,23 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
95.0,Shanthakumaran Sreesanth,4.0,33,2,12.0,KKR,Eden Gardens,25 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
96.0,Lakshmipathy Balaji,4.0,35,2,12.0,DC,Arun Jaitley Stadium,08 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
97.0,MF Maharoof,4.0,11,2,12.0,RR,Arun Jaitley Stadium,19 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
98.0,Albie Morkel,4.0,27,2,12.0,PBKS,Wankhede Stadium,31 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
99.0,Irfan Pathan,4.0,30,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
100.0,Umar Gul,4.0,27,2,12.0,PBKS,IS Bindra Stadium,03 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
101.0,Dale Steyn,4.0,19,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
102.0,MF Maharoof,4.0,36,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
103.0,Dale Steyn,4.0,28,2,12.0,CSK,Chidambaram,21 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
104.0,Albie Morkel,4.0,25,2,12.0,RR,DY Patil Stadium,01 June 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
105.0,Siddharth Trivedi,4.0,31,2,12.0,KKR,Sawai Mansingh Stadium,01 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
106.0,Pragyan Ojha,4.0,28,2,12.0,RCB,M. Chinnaswamy Stadium,03 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
107.0,Dwayne Bravo,4.0,37,2,12.0,CSK,Wankhede Stadium,14 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
108.0,Irfan Pathan,4.0,47,2,12.0,CSK,IS Bindra Stadium,19 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
109.0,Dilhara Fernando,4.0,38,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
110.0,Dimitri Mascarenhas,4.0,29,2,12.0,DC,Sawai Mansingh Stadium,11 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
111.0,Albie Morkel,4.0,35,2,12.0,RR,Chidambaram,24 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
112.0,Jacques Kallis,4.0,39,2,12.0,DC,Arun Jaitley Stadium,30 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
113.0,Yo Mahesh,4.0,40,2,12.0,CSK,Arun Jaitley Stadium,08 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
114.0,Rajat Bhatia,4.0,17,2,12.0,RR,Arun Jaitley Stadium,19 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
115.0,Irfan Pathan,4.0,18,2,12.0,KKR,IS Bindra Stadium,03 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
116.0,Siddharth Trivedi,4.0,25,2,12.0,PBKS,Sawai Mansingh Stadium,21 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
117.0,MF Maharoof,4.0,13,2,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
118.0,Shane Watson,4.0,20,2,12.0,RCB,M. Chinnaswamy Stadium,26 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
119.0,Sourav Ganguly,4.0,25,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
120.0,Shahid Afridi,4.0,23,2,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
121.0,Dhawal Kulkarni,4.0,37,2,12.0,PBKS,IS Bindra Stadium,25 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
122.0,Shahid Afridi,4.0,32,2,12.0,MI,DY Patil Stadium,27 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
123.0,Shaun Pollock,4.0,16,2,12.0,DC,DY Patil Stadium,04 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
124.0,Mohammad Asif,4.0,19,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
125.0,Siddharth Chitnis,4.0,40,2,12.0,PBKS,Wankhede Stadium,21 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
126.0,Shane Warne,4.0,21,2,12.0,DC,Wankhede Stadium,30 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
127.0,Muttiah Muralitharan,4.0,39,2,12.0,RR,DY Patil Stadium,01 June 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
128.0,Albie Morkel,4.0,37,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
129.0,Ishant Sharma,4.0,9,2,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
130.0,Manpreet Gony,4.0,40,2,12.0,KKR,Chidambaram,26 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
131.0,Shanthakumaran Sreesanth,4.0,16,2,12.0,RCB,M. Chinnaswamy Stadium,05 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
132.0,Shane Watson,4.0,21,2,12.0,DC,Sawai Mansingh Stadium,11 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
133.0,Pradeep Sangwan,4.0,29,2,12.0,CSK,Arun Jaitley Stadium,08 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
