Unnamed: 0,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
380,Mahela Jayawardena,15,5,300.0,3,0,KKR,Eden Gardens,04 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
381,Rahul Dravid,15,6,250.0,3,0,KKR,M. Chinnaswamy Stadium,10 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
382,Robin Uthappa,14,4,350.0,2,1,KKR,M. Chinnaswamy Stadium,10 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
383,Naman Ojha,14,5,280.0,3,0,CSK,Chidambaram,03 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
384,Abhishek Raut,14,5,280.0,1,1,RCB,Sawai Mansingh Stadium,14 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
385,Rahul Dravid,14,4,350.0,0,2,KKR,M. Chinnaswamy Stadium,10 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
386,Virender Sehwag,14,6,233.33,2,1,RCB,Arun Jaitley Stadium,04 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
387,Suresh Raina,14,4,350.0,3,0,KKR,Chidambaram,13 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
388,Murali Vijay,14,5,280.0,2,1,RR,Chidambaram,03 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
389,Adam Gilchrist,14,6,233.33,2,1,CSK,Chidambaram,14 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
390,Yuvraj Singh,14,4,350.0,0,2,KKR,Eden Gardens,04 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
391,Chris Gayle,14,4,350.0,0,2,PBKS,Eden Gardens,04 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
392,Mahela Jayawardena,14,4,350.0,2,1,KKR,Eden Gardens,04 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
393,Ambati Rayudu,14,4,350.0,2,1,RR,Brabourne Stadium,13 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
394,Naman Ojha,14,5,280.0,2,1,DC,Narendra Modi Stadium,15 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
395,Chris Gayle,14,4,350.0,2,1,MI,Brabourne Stadium,22 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
396,Manoj Tiwary,14,4,350.0,2,1,RCB,Eden Gardens,14 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
397,Kumar Sangakkara,14,5,280.0,3,0,RR,IS Bindra Stadium,24 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
398,Adam Voges,14,5,280.0,0,2,KKR,Narendra Modi Stadium,20 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
399,Kieron Pollard,14,6,233.33,2,0,DEC,Brabourne Stadium,03 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
400,Murali Vijay,14,4,350.0,0,2,RCB,Chidambaram,31 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
401,Yusuf Pathan,14,5,280.0,0,2,DC,Arun Jaitley Stadium,31 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
402,Michael Lumb,14,6,233.33,3,0,CSK,Chidambaram,03 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
403,Herschelle Gibbs,14,6,233.33,2,1,DC,Barabati Stadium,21 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
404,Chris Gayle,14,3,466.66,2,1,RCB,M. Chinnaswamy Stadium,10 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
405,Mohnish Mishra,14,5,280.0,2,1,CSK,Vidarbha Cricket Association Stadium,10 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
406,Ambati Rayudu,14,4,350.0,0,2,RCB,M. Chinnaswamy Stadium,17 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
407,Rohit Sharma,14,5,280.0,3,0,RR,Vidarbha Cricket Association Stadium,05 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
408,Adam Gilchrist,14,4,350.0,2,1,RCB,M. Chinnaswamy Stadium,08 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
409,Saurabh Tiwary,14,6,233.33,0,2,DEC,Brabourne Stadium,03 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
410,Rohit Sharma,14,5,280.0,1,1,MI,DY Patil Stadium,28 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
411,Virender Sehwag,14,5,280.0,1,1,CSK,Arun Jaitley Stadium,19 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
412,Chris Gayle,14,5,280.0,2,1,DC,Eden Gardens,07 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
413,Yusuf Pathan,14,4,350.0,0,2,DEC,Narendra Modi Stadium,26 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
414,Graeme Smith,14,6,233.33,3,0,MI,Brabourne Stadium,13 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
415,Chris Gayle,14,7,200.0,3,0,PBKS,IS Bindra Stadium,27 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
416,Shikhar Dhawan,13,6,216.66,0,2,CSK,Brabourne Stadium,25 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
417,Harbhajan Singh,13,5,260.0,0,2,CSK,Chidambaram,06 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
418,Faiz Fazal,13,6,216.66,3,0,KKR,Narendra Modi Stadium,20 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
419,Laxmi Ratan Shukla,13,4,325.0,0,2,CSK,Chidambaram,13 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
420,David Warner,13,6,216.66,0,1,RCB,M. Chinnaswamy Stadium,25 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
421,Murali Vijay,13,5,260.0,1,1,DC,Arun Jaitley Stadium,19 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
422,Matthew Hayden,13,5,260.0,1,1,RR,Chidambaram,03 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
423,Murali Vijay,13,4,325.0,0,2,RR,Chidambaram,03 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
424,Andrew Symonds,13,6,216.66,3,0,RR,Narendra Modi Stadium,26 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
425,Andrew Symonds,13,4,325.0,1,1,RCB,M. Chinnaswamy Stadium,08 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
426,Jacques Kallis,13,4,325.0,1,1,KKR,Eden Gardens,14 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
427,Dinesh Karthik,13,5,260.0,3,0,RR,Arun Jaitley Stadium,31 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
428,Murali Vijay,13,6,216.66,1,1,DEC,DY Patil Stadium,22 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
429,Mohnish Mishra,13,5,260.0,1,1,DC,Arun Jaitley Stadium,18 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
430,Rohit Sharma,13,4,325.0,3,0,RCB,Vidarbha Cricket Association Stadium,12 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
431,Rajat Bhatia,13,3,433.33,0,2,CSK,Arun Jaitley Stadium,19 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
432,Rohit Sharma,13,5,260.0,0,2,DC,Barabati Stadium,21 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
433,Shane Watson,13,5,260.0,1,1,KKR,Eden Gardens,17 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
434,Cheteshwar Pujara,13,4,325.0,0,2,RCB,M. Chinnaswamy Stadium,10 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
435,Virat Kohli,13,5,260.0,1,1,DEC,M. Chinnaswamy Stadium,08 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
436,Sachin Tendulkar,13,6,216.66,0,1,CSK,Brabourne Stadium,25 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
437,Kieron Pollard,13,5,260.0,1,1,DC,Brabourne Stadium,13 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
438,Gautam Gambhir,13,5,260.0,3,0,PBKS,Arun Jaitley Stadium,11 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
439,Andrew Symonds,13,5,260.0,3,0,KKR,Eden Gardens,01 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
440,Ambati Rayudu,13,4,325.0,3,0,PBKS,IS Bindra Stadium,09 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
441,Ravi Bopara,13,4,325.0,3,0,RCB,M. Chinnaswamy Stadium,16 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
442,Shaun Marsh,13,3,433.33,0,2,CSK,HPCA Stadium,18 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
443,Irfan Pathan,13,4,325.0,1,1,DEC,Barabati Stadium,19 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
444,Yusuf Pathan,13,4,325.0,3,0,MI,Brabourne Stadium,13 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
445,Andrew Symonds,13,5,260.0,0,2,DC,Arun Jaitley Stadium,18 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
446,JP Duminy,13,4,325.0,3,0,DC,Brabourne Stadium,13 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
447,Saurabh Tiwary,13,5,260.0,3,0,KKR,Brabourne Stadium,22 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
448,Ryan Harris,13,4,325.0,1,1,CSK,DY Patil Stadium,22 April 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
449,Sanath Jayasuriya,13,6,216.66,3,0,RR,Brabourne Stadium,13 March 2010,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
450,Chris Gayle,36,7,514.28,3,4,KTK,M. Chinnaswamy Stadium,08 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
451,Shaun Marsh,30,6,500.0,3,3,RCB,HPCA Stadium,17 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
452,Yuvraj Singh,24,5,480.0,1,3,DC,DY Patil Stadium,17 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
453,Shaun Marsh,24,5,480.0,1,3,DC,HPCA Stadium,15 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
454,Paul Valthaty,24,7,342.85,3,2,RR,IS Bindra Stadium,21 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
455,Rohit Sharma,23,5,460.0,1,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
456,Virender Sehwag,23,6,383.33,2,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
457,MS Dhoni,22,6,366.66,2,2,PBKS,IS Bindra Stadium,13 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
458,Paul Valthaty,22,6,366.66,4,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
459,Brad Hodge,21,5,420.0,2,2,KKR,Jawaharlal Nehru Stadium,05 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
460,Chris Gayle,21,5,420.0,2,2,PBKS,M. Chinnaswamy Stadium,06 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
461,Aiden Blizzard,20,6,333.33,5,0,DC,Wankhede Stadium,07 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
462,Virender Sehwag,20,6,333.33,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
463,Chris Gayle,20,6,333.33,2,2,PWI,M. Chinnaswamy Stadium,29 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
464,Adam Gilchrist,20,5,400.0,0,3,RCB,HPCA Stadium,17 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
465,Chris Gayle,20,6,333.33,3,1,MI,Chidambaram,27 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
466,Shaun Marsh,20,4,500.0,0,3,RR,IS Bindra Stadium,21 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
467,Brendon McCullum,20,5,400.0,2,2,DC,Arun Jaitley Stadium,02 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
468,Yuvraj Singh,20,4,500.0,2,2,PBKS,IS Bindra Stadium,08 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
469,Tillakaratne Dilshan,20,6,333.33,3,1,KTK,M. Chinnaswamy Stadium,08 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
470,Albie Morkel,19,6,316.66,0,3,DEC,Chidambaram,01 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
471,Virat Kohli,19,5,380.0,1,2,CSK,Wankhede Stadium,24 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
472,AB de Villiers,19,4,475.0,0,3,KTK,Jawaharlal Nehru Stadium,09 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
473,Shane Watson,18,6,300.0,0,3,KTK,Holkar Cricket Stadium,15 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
474,Chris Gayle,18,4,450.0,1,2,KKR,M. Chinnaswamy Stadium,14 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
475,Paul Valthaty,18,6,300.0,1,2,DC,HPCA Stadium,15 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
476,Johan Botha,18,5,360.0,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
477,Virender Sehwag,18,4,450.0,0,3,PBKS,Arun Jaitley Stadium,23 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
478,Yuvraj Singh,18,5,360.0,1,2,RCB,M. Chinnaswamy Stadium,29 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
479,Brendon McCullum,18,5,360.0,0,3,RR,Holkar Cricket Stadium,15 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
480,Sunny Sohal,18,5,360.0,3,1,CSK,Chidambaram,01 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
481,Gautam Gambhir,18,6,300.0,4,0,RR,Sawai Mansingh Stadium,15 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
482,Brad Hodge,17,4,425.0,1,2,CSK,Chidambaram,18 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
483,Paul Valthaty,17,6,283.33,3,0,CSK,IS Bindra Stadium,13 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
484,Dwaraka Ravi Teja,17,4,425.0,1,2,PBKS,HPCA Stadium,21 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
485,MS Dhoni,17,6,283.33,1,2,RCB,M. Chinnaswamy Stadium,22 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
486,MS Dhoni,17,5,340.0,2,1,RR,Sawai Mansingh Stadium,09 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
487,James Franklin,17,5,340.0,4,0,KKR,Eden Gardens,22 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
488,Ravindra Jadeja,17,4,425.0,1,2,MI,Wankhede Stadium,15 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
489,Sachin Tendulkar,17,5,340.0,1,2,KTK,Wankhede Stadium,15 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
490,David Warner,17,6,283.33,2,1,RR,Sawai Mansingh Stadium,12 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
491,Sachin Tendulkar,16,5,320.0,4,0,KKR,Wankhede Stadium,25 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
492,Chris Gayle,16,6,266.66,4,0,KKR,M. Chinnaswamy Stadium,14 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
493,Suresh Raina,16,4,400.0,1,2,KTK,Chidambaram,18 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
494,Adam Gilchrist,16,6,266.66,4,0,DC,Arun Jaitley Stadium,23 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
495,Suresh Raina,16,5,320.0,2,1,RCB,Chidambaram,16 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
496,Naman Ojha,16,6,266.66,1,2,PBKS,HPCA Stadium,15 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
497,MS Dhoni,16,5,320.0,0,2,DC,Chidambaram,12 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
498,Kieron Pollard,16,5,320.0,2,1,PWI,DY Patil Stadium,04 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
499,Luke Pomersbach,16,6,266.66,2,1,CSK,Wankhede Stadium,24 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
500,Virat Kohli,16,6,266.66,4,0,DC,Arun Jaitley Stadium,26 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
501,Mohnish Mishra,16,5,320.0,1,2,KTK,DY Patil Stadium,13 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
502,David Warner,16,5,320.0,1,2,PWI,DY Patil Stadium,17 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
503,Shane Watson,16,6,266.66,0,2,KTK,Sawai Mansingh Stadium,24 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
504,Subramaniam Badrinath,16,6,266.66,1,1,MI,Wankhede Stadium,22 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
505,Chris Gayle,16,5,320.0,2,1,KKR,Eden Gardens,22 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
506,Amit Mishra,16,4,400.0,4,0,MI,Wankhede Stadium,14 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
507,Ross Taylor,16,5,320.0,2,1,PWI,Sawai Mansingh Stadium,01 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
508,Andrew Symonds,16,6,266.66,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
509,Chris Gayle,16,5,320.0,1,2,PWI,M. Chinnaswamy Stadium,29 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
510,Shakib Al Hasan,15,6,250.0,3,0,MI,Wankhede Stadium,25 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
511,Suresh Raina,15,4,375.0,0,2,RCB,Wankhede Stadium,24 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
512,Subramaniam Badrinath,15,5,300.0,2,1,PWI,DY Patil Stadium,27 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
513,Robin Uthappa,15,5,300.0,2,1,RCB,M. Chinnaswamy Stadium,29 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
514,Shaun Marsh,15,5,300.0,2,1,DC,Arun Jaitley Stadium,23 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
515,Virender Sehwag,15,5,300.0,3,0,PBKS,Arun Jaitley Stadium,23 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
516,Virender Sehwag,15,5,300.0,1,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
517,Virat Kohli,15,5,300.0,0,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
518,Virender Sehwag,15,5,300.0,2,1,KTK,Jawaharlal Nehru Stadium,30 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
519,Paul Valthaty,15,4,375.0,2,1,CSK,IS Bindra Stadium,13 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
520,Rohit Sharma,15,4,375.0,0,2,CSK,Wankhede Stadium,22 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
521,Travis Birt,15,5,300.0,2,1,KTK,Jawaharlal Nehru Stadium,30 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
522,Aaron Finch,15,4,375.0,0,2,PWI,DY Patil Stadium,17 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
523,AB de Villiers,15,5,300.0,1,1,CSK,Chidambaram,16 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
524,Murali Vijay,15,4,375.0,0,2,RCB,Chidambaram,28 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
525,Yusuf Pathan,15,4,375.0,2,1,RCB,Eden Gardens,22 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
526,MS Dhoni,15,4,375.0,0,2,RCB,Chidambaram,28 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
527,Adam Gilchrist,15,5,300.0,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
528,Yuvraj Singh,15,6,250.0,0,2,CSK,DY Patil Stadium,27 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
529,Brendon McCullum,15,4,375.0,2,1,RCB,Jawaharlal Nehru Stadium,09 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
530,Tirumalasetti Suman,15,5,300.0,2,1,PWI,DY Patil Stadium,04 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
531,Kumar Sangakkara,15,5,300.0,2,1,DC,Arun Jaitley Stadium,19 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
532,Brendon McCullum,15,6,250.0,2,1,KKR,Eden Gardens,20 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
533,Venugopal Rao,14,4,350.0,0,2,RR,Sawai Mansingh Stadium,12 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
534,Suresh Raina,14,6,233.33,0,2,PWI,DY Patil Stadium,27 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
535,Bharat Chipli,14,4,350.0,0,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
536,Brad Hodge,14,5,280.0,2,1,RR,Holkar Cricket Stadium,15 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
537,Jesse Ryder,14,6,233.33,0,2,DC,DY Patil Stadium,17 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
538,Amit Mishra,14,5,280.0,3,0,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
539,Chris Gayle,14,6,233.33,2,1,KKR,Eden Gardens,22 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
540,Adam Gilchrist,14,5,280.0,0,2,RCB,HPCA Stadium,17 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
541,Ambati Rayudu,14,4,350.0,2,1,PBKS,Wankhede Stadium,02 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
542,Jesse Ryder,14,6,233.33,1,1,DC,DY Patil Stadium,17 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
543,Michael Hussey,14,5,280.0,2,0,RCB,Chidambaram,16 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
544,Jesse Ryder,14,6,233.33,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
545,Manoj Tiwary,14,4,350.0,1,1,DC,Arun Jaitley Stadium,28 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
546,Shane Watson,14,5,280.0,2,1,MI,Wankhede Stadium,20 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
547,Davy Jacobs,14,5,280.0,2,1,RCB,M. Chinnaswamy Stadium,12 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
548,Murali Vijay,14,6,233.33,3,0,KTK,Chidambaram,18 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
549,Asad Pathan,14,4,350.0,2,1,CSK,Chidambaram,16 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
550,Virender Sehwag,14,5,280.0,3,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
551,Murali Vijay,14,4,350.0,2,1,RCB,Chidambaram,16 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
552,Paul Valthaty,14,6,233.33,0,2,DC,Arun Jaitley Stadium,23 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
553,Manoj Tiwary,14,4,350.0,2,1,RR,Eden Gardens,17 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
554,Manish Pandey,14,6,233.33,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
555,Rahul Dravid,14,6,233.33,2,1,DC,Sawai Mansingh Stadium,12 April 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
556,Praveen Kumar,14,6,233.33,2,1,RCB,M. Chinnaswamy Stadium,06 May 2011,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
