Unnamed: 0,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
1788,Robin Uthappa,13,4,325.0,0,2,RR,Sawai Mansingh Stadium,07 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1789,Hardik Pandya,13,4,325.0,0,2,RCB,M. Chinnaswamy Stadium,28 March 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1790,David Warner,13,4,325.0,3,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1791,Ben Stokes,13,4,325.0,3,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1792,Virat Kohli,13,6,216.66,3,0,KKR,M. Chinnaswamy Stadium,05 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1793,Shikhar Dhawan,13,6,216.66,3,0,CSK,ACA-VDCA Stadium,10 May 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1794,Rohit Sharma,13,4,325.0,0,2,CSK,Chidambaram,26 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1795,Parthiv Patel,13,5,260.0,3,0,RR,Sawai Mansingh Stadium,02 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1796,Jonny Bairstow,13,4,325.0,0,2,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1797,Sam Curran,13,4,325.0,1,1,KKR,IS Bindra Stadium,03 May 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1798,KL Rahul,13,3,433.33,0,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1799,Sanju Samson,13,5,260.0,2,0,SRH,Sawai Mansingh Stadium,27 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
